Rank,Company Name,Fitness Category,LinkedIn URL
110,CLOUD INNOVATION PARTNERS,Low,ma3ndhomch
111,CLOUD MASTER,Low,ma3ndhomch
112,CLUB INFORMATIQUE ROUGE,Low,ma3ndhomch
113,CMA-CGM,Low,https://www.linkedin.com/company/cma-cgm/
114,CMR GROUP,Low,ma3ndhomch
115,CNI,Medium,ma3ndhomch
116,CNSS,Low,https://www.linkedin.com/company/cnss-tunisie/
117,CODIX TUNISIE DEVELOPPEMENT,Medium,ma3ndhomch
118,CODWAYS,Low,ma3ndhomch
119,COFAT TUNIS,Low,ma3ndhomch
120,COFICAB,Low,https://www.linkedin.com/company/coficab/
121,COFITEL,Low,ma3ndhomch
122,COMAF,Low,ma3ndhomch
123,COMETE ENGINEERING,Low,ma3ndhomch
124,Commissariat Général au Développement Régional(CGDR),Low,ma3ndhomch
125,COMPAGNIE DES PHOSPHATES DE GAFSA,Low,https://www.linkedin.com/company/compagnie-des-phosphates-de-gafsa/
126,COMWORKER,Low,ma3ndhomch
127,CONCENTRIX,Low,https://www.linkedin.com/company/concentrix/
128,COTHERM,Low,ma3ndhomch
129,CREATECH,Low,ma3ndhomch
130,CRIT RH,Low,https://www.linkedin.com/company/crit/
131,CROCOCODER,Low,ma3ndhomch
132,CYTEKIA,Low,ma3ndhomch
133,Dar Almasharii Attijari,Low,ma3ndhomch
134,DATADOIT,Medium,ma3ndhomch
135,Deloitte,High,https://www.linkedin.com/company/deloitte-tunisie/
136,DEVNET,Low,ma3ndhomch
137,DEVOLUTION,Low,ma3ndhomch
138,DEVOTEAM,High,https://www.linkedin.com/company/devoteam/
139,DIGILINKS TUNISIE,Low,ma3ndhomch
140,Digital Mangement,Low,ma3ndhomch
141,DIGITAL NATIVES,Low,ma3ndhomch
142,DIGITAL POWER CONSULTING(DPC),Low,ma3ndhomch
143,DISCOVERY INFORMATIQUE,Low,ma3ndhomch
144,Domi Affaire,Low,ma3ndhomch
145,DRAG AND CODE TUNISIA,Low,ma3ndhomch
146,DRAXLMAIER,Medium,https://www.linkedin.com/company/draxlmaier/
147,DYNAMIX SERVICES,Low,ma3ndhomch
148,ECOVIS KDH PARTNERS,Low,ma3ndhomch
149,Educaro,Low,ma3ndhomch
150,EL MAZRAA,Low,ma3ndhomch
151,ELITE BUSINESS,Low,ma3ndhomch
152,EL YADATA,Medium,https://www.linkedin.com/company/elyadata/
153,ENERP,Low,ma3ndhomch
154,EQUINOXES SA GROUP KEYRUS,High,https://www.linkedin.com/company/keyrus/
